category;subcategories

"汽機車";"汽車工具,汽車零件,汽車電子,輪胎"
"汽車零件";""
"汽車工具";""
"汽車電子";""
"輪胎";""

"書籍";"書籍,童書,課本"
"書籍";""
"童書";""
"課本";""

"相機&攝影";"攝影,相機"
"相機";""
"攝影";""

"電子產品";"家庭,音響&電影院,手機&飾品,軟體,電子配件,電玩,電腦零件,電視"
"手機&飾品";""
"電腦零件";""
"電子配件";""
"家庭,音響&電影院";""
"軟體";""
"電視";""
"電玩";""

"時尚";"兒童&嬰兒,女性,男性,鞋"
"兒童&嬰兒";""
"男性";""
"鞋";""
"女性";""

"健康&美麗";"健康&個人護理,天然&有機,酒,雜貨&美食"
"雜貨&美食";""
"健康&個人護理";""
"天然&有機";""
"酒";""

"住屋&庭院";"傢俱 & 裝潢,庭院,草地&花園,廚房&用餐,臥房&浴室,藝術,手工&裁縫"
"藝術,手工&裁縫";""
"臥房&浴室";""
"傢俱 & 裝潢";""
"廚房&用餐";""
"庭院,草地&花園";""

"珠寶&手錶";"手錶,時尚珠寶,時尚珠寶,精品珠寶,訂婚&婚禮"
"訂婚&婚禮";""
"時尚珠寶";""
"時尚珠寶";""
"精品珠寶";""
"手錶";""

"電影,音樂&遊戲";"MP3下載,樂器,藍光,遊戲下載,電影&電視"
"藍光";""
"遊戲下載";""
"電影&電視";""
"MP3下載";""
"樂器";""

"房地產";""

"餐廳";"亞洲餐廳,法式餐廳,義式餐廳"
"亞洲餐廳";""
"法式餐廳";""
"義式餐廳";""

"服務";"IT 服務,服務"
"IT 服務";""
"服務";""

"運動&戶外活動";"單車,團體運動,戶外休閒,打獵&釣魚,運動&瘦身"
"單車";""
"運動&瘦身";""
"打獵&釣魚";""
"戶外休閒";""
"團體運動";""

"玩具,兒童&嬰兒";"兒童電玩,嬰兒,嬰兒註冊,玩具&遊戲,衣服(兒童&嬰兒)"
"嬰兒";""
"嬰兒註冊";""
"衣服(兒童&嬰兒)";""
"玩具&遊戲";""
"兒童電玩";""
